股票,類別,(%)差異,20260417,20260410,20260402,20260327,20260320,20260313,20260316,20260226,20260211,20260206,20260130,20260123,市值(億),20260417 收盤價,
1101 台泥,水泥,-0.10,50.24,50.34,50.26,50.12,50.43,50.55,50.39,50.31,49.94,49.74,49.32,48.89,"2,224.6",25.10,
1102 亞泥,水泥,0.00,79.19,79.19,78.97,78.84,78.90,79.25,79.43,79.63,79.68,79.66,79.98,80.45,"1,378.2",35.70,
1103 嘉泥,水泥,-0.03,75.50,75.53,75.50,75.51,75.47,75.48,75.47,75.48,75.46,75.45,75.43,75.28,125.9,14.00,
1104 環泥,水泥,-0.19,68.13,68.32,68.32,68.34,68.35,68.38,68.24,68.57,68.41,68.47,68.67,68.62,122.9,29.35,
1108 幸福,水泥,0.00,76.30,76.30,76.29,76.55,76.96,76.96,76.72,76.72,76.72,76.71,76.68,76.68,27.5,14.90,
1109 信大,水泥,0.00,72.49,72.49,72.49,72.49,72.48,72.47,72.47,72.47,72.47,72.47,72.47,72.47,59.5,15.50,
1110 東泥,水泥,0.00,91.60,91.60,91.49,91.51,91.47,91.58,91.30,91.27,91.55,91.55,91.56,91.59,96.1,15.85,
1201 味全,食品,0.00,59.22,59.22,59.20,59.21,59.24,59.19,59.15,59.11,59.03,59.00,58.98,59.03,144.7,13.40,
1203 味王,食品,0.04,86.55,86.51,86.50,86.47,86.45,86.41,86.38,86.37,86.38,86.37,86.36,86.36,64.2,43.40,
1210 大成,食品,0.44,59.58,59.14,59.02,58.86,58.42,58.03,57.74,57.77,57.72,57.82,58.12,58.26,321.5,54.20,
1213 大飲,食品,0.00,77.46,77.46,77.46,77.46,77.46,77.46,77.46,77.43,77.44,77.43,77.41,77.41,,9.33,
1215 卜蜂,食品,0.00,60.95,60.95,61.17,61.00,61.38,61.43,60.84,60.83,60.27,60.26,60.61,60.22,198.3,142.50,
1216 統一,食品,0.02,84.88,84.86,84.79,84.61,84.59,84.70,84.94,85.20,85.10,85.11,85.23,85.55,"4,363.8",73.50,
1217 愛之味,食品,-0.20,53.97,54.17,54.01,53.76,53.69,53.52,53.50,53.24,53.38,53.36,53.09,53.22,36.1,10.40,
1218 泰山,食品,0.24,65.11,64.87,64.93,65.09,65.05,64.58,64.67,64.67,64.63,64.60,64.78,64.63,100,19.05,
1219 福壽,食品,0.10,55.94,55.84,55.84,55.90,55.93,55.86,55.87,55.85,55.83,55.82,55.48,55.43,58.3,14.30,
1220 台榮,食品,0.00,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.27,60.33,60.29,60.29,60.29,19.1,12.80,
1225 福懋油,食品,0.00,86.66,86.66,86.67,86.67,86.67,86.67,86.67,86.56,86.54,86.54,86.49,86.45,124.7,33.30,
1227 佳格,食品,-0.11,65.30,65.41,65.44,65.20,65.43,65.15,65.07,65.06,64.84,64.83,64.82,64.68,535.3,30.75,
1229 聯華,食品,-0.02,62.68,62.70,62.58,62.44,62.59,62.57,62.76,62.90,62.90,62.83,63.01,63.01,410.3,44.40,
1231 聯華食,食品,-0.03,63.00,63.03,63.06,62.98,62.96,62.99,62.99,63.04,63.08,63.33,63.91,63.88,76.2,90.20,
1232 大統益,食品,-0.03,72.34,72.37,72.39,72.41,72.43,72.45,72.48,72.50,72.50,72.50,72.50,72.51,195.2,150.00,
1233 天仁,食品,0.60,67.00,66.40,66.40,66.40,66.40,66.39,66.37,65.23,65.23,65.23,65.22,65.22,35,29.50,
1234 黑松,食品,0.00,74.16,74.16,74.17,74.20,74.19,74.17,74.14,74.16,74.14,74.14,74.42,74.44,127.4,36.20,
1235 興泰,食品,0.75,95.46,94.71,94.72,94.72,94.72,94.72,94.72,94.72,94.72,94.73,94.73,94.73,,45.20,
1236 宏亞,食品,0.04,77.60,77.56,77.55,77.57,77.56,77.53,77.43,77.33,77.32,78.53,78.64,78.61,14.5,26.90,
