group,stock_id,name,industry,week_date,trigger_date,entry_price,current_price,pnl_pct,track_vol_ratio,sources,source_count,priority,candidate_status,candidate_score,tags_join,chip_tag_score,chg_1w_1000,chg_1w_400,cumulative_3w,cumulative_3w_400,week_chg_pct,deviation,bbw,today_vol_ratio,volume_pullback_status,ignition_vol_ratio,pullback_pct,momentum_fib_zone,momentum_risk_pct
strong_10pct,3048,益登,電子工業 / 電子通路業,2026-05-08,2026-05-08,42.4,73.3,72.88,1.77,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,6538,倉和,電子零組件業,2026-05-08,2026-05-07,82.9,131.5,58.62,1.86,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,2302,麗正,半導體業 / 電子工業,2026-05-08,2026-05-07,20.15,30.9,53.35,1.64,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,3537,堡達,電子零組件業,2026-05-15,2026-05-14,51.5,76.7,48.93,2.45,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,ignition,4.63,,,
strong_10pct,5321,美而快,電子零組件業,2026-05-22,2026-05-19,29.3,42.75,45.9,2.04,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,reentry,4.71,9.9,,
strong_10pct,3236,千如,電子零組件業,2026-05-22,2026-05-19,40.3,58.3,44.67,0.4,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,6570,維田,電腦及週邊設備業,2026-05-08,2026-05-09,42.3,59.6,40.9,1.5,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,6719,力智,電子工業 / 半導體業,2026-05-08,2026-05-06,188,255.0,35.64,1.96,price_breakout_track / right_top / right_top_track / volume_pullback,4,A,再啟動,72.0,價格突破 / 60日新高 / EMA多頭 / 量能續航,,,,,,,,,,reentry,2.59,9.21,,
strong_10pct,6742,澤米,光電業,2026-05-15,2026-05-15,44,59.5,35.23,3.71,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,6161,捷波,電腦及週邊設備業,2026-05-08,2026-05-08,44.3,59.1,33.41,2.12,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,2441,超豐,半導體業,2026-05-15,2026-05-13,97.3,128.5,32.07,0.81,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,6227,茂綸,電子通路業,2026-05-08,2026-05-09,101,131.0,29.7,1.45,price_breakout_track / right_top,2,,,,價格突破 / 60日新高 / EMA多頭 / 400張同步,,,,,,,,,,,,,,
strong_10pct,8926,台汽電,油電燃氣業,2026-05-08,2026-05-08,49.1,62.5,27.29,3.11,price_breakout_track / right_top,2,,,,價格突破 / 60日新高 / EMA多頭 / 千張大戶連增 / 400張同步,,,,,,,,,,,,,,
strong_10pct,6116,彩晶,光電業,2026-05-15,2026-05-14,10.4,13.0,25.0,5.51,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,2478,大毅,電子工業,2026-05-22,2026-05-19,96.3,120.0,24.61,2.03,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,ignition,3.01,,,
strong_10pct,8050,廣積,電腦及週邊設備業,2026-05-08,2026-05-07,44.45,54.7,23.06,1.54,price_breakout_track,1,,,,,,,,,,,,,,,,,,
strong_10pct,2491,吉祥全,光電業 / 電子工業,2026-05-08,2026-05-07,19.2,23.6,22.92,1.75,price_breakout_track / right_top,2,,,,價格突破 / 60日新高 / EMA多頭,,,,,,,,,,,,,,
strong_10pct,9105,泰金寶-DR,存託憑證,2026-05-22,2026-05-21,6.14,7.42,20.85,1.0,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,reentry,7.03,9.93,,
strong_10pct,6284,佳邦,電子零組件業,2026-05-22,2026-05-21,93.4,112.5,20.45,2.01,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,reentry,3.39,9.76,,
strong_10pct,6237,驊訊,半導體業,2026-05-15,2026-05-11,45.5,54.6,20.0,3.32,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,reentry,2.59,2.25,,
strong_10pct,2061,風青,電器電纜,2026-05-22,2026-05-21,24.5,29.3,19.59,4.8,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,reentry,4.0,9.94,,
strong_10pct,2363,矽統,電子工業 / 半導體業,2026-05-08,2026-05-07,57.9,69.2,19.52,1.87,price_breakout_track / right_top,2,,,,價格突破 / 60日新高 / EMA多頭 / 400張同步,,,,,,,,,,,,,,
strong_10pct,3441,聯一光,光電業,2026-05-22,2026-05-20,48.15,57.4,19.21,7.6,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,reentry,3.0,8.51,,
strong_10pct,6271,同欣電,電子工業,2026-05-22,2026-05-21,206,243.5,18.2,1.14,price_breakout_track / volume_pullback,2,,,,,,,,,,,,,,ignition,4.43,,,
